Date : 2023-07-11 17:00:05
Directory : e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer
Total : 826 files,  216851 codes, 24557 comments, 23135 blanks, all 264543 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C#         |        674 |     84,319 |     22,375 |     19,764 |    126,458 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\Editor\Inspectors\FontIconSet\FontIconSelectorInspector.cs                           | C#         |        115 |          2 |         29 |        146 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\Editor\Inspectors\FontIconSet\FontIconSetInspector.cs                                | C#         |        296 |         10 |         51 |        357 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\Editor\Inspectors\PressableButton\PressableButtonInspector.cs                        | C#         |        238 |         20 |         56 |        314 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\Editor\Inspectors\Slider\SliderInspector.cs                                          | C#         |         87 |          5 |         21 |        113 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\Editor\Inspectors\StateVisualizer\StateVisualizerInspector.cs                        | C#         |        169 |          7 |         39 |        215 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\FontIcons\FontIconSelector.cs                                                        | C#         |         59 |         19 |         14 |         92 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\FontIcons\FontIconSet.cs                                                             | C#         |         85 |         53 |         13 |        151 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\InputField\MRTKInputFieldManager.cs                                                  | C#         |         23 |         15 |          5 |         43 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\InputField\MRTKTMPInputField.cs                                                      | C#         |         23 |         14 |          4 |         41 |
| e:\Unity Projects\MixedRealityToolkit-Unity-mrtk3\UnityProjects\AugmentedNeuronTracer\MRTK3\com.microsoft.mrtk.uxcore\InputField\MRTKUGUIInputField.cs                                                     | C#         |         23 |         14 |          4 |         41 |
